patient	MB-0395	MB-4716	MB-5408	MB-3371	MB-2953	MB-2513	MB-3706	MB-2616	MB-3363	MB-7250	MB-4836	MB-2643	MB-6346
category	diespre60	aliveafter72	aliveafter72	aliveafter72	diespre60	diespre60	diespre60	aliveafter72	diespre60	diespre60	diespre60	diespre60	aliveafter72
HOXC12	5.30207628	5.324245883	5.407886354	5.159268231	5.426748138	5.315144294	5.366462105	5.520941321	5.570183631	5.275062388	5.324591155	5.343103286	5.059348923
GCNT1	7.816881152	6.761079325	7.354082156	6.670055036	6.28083593	7.783225577	7.91693801	6.787826312	7.518416983	6.766268744	6.912935015	7.399474834	6.947806507
TOPBP1	7.309314571	7.624418274	7.486751705	7.882244597	7.703208493	7.332057974	6.969110445	7.101917436	8.279979129	7.345938252	7.314934195	7.514677094	7.482296899
CCL11	5.571042299	5.087739263	5.605445385	5.317465022	5.501929617	5.44154265	4.988410503	5.360332952	5.37841097	5.28254443	5.305664148	5.49451713	5.447941482
ZNF501	5.171193534	5.287066825	5.424716533	5.500229431	5.275659539	5.384434362	5.464929534	5.385479472	5.636178332	5.556334108	5.321753472	5.587512333	5.492744823
OR2L5	5.286526457	5.451853228	5.306690837	5.219381473	5.101190061	5.09082953	5.337029677	5.041321059	5.160406012	5.810244832	5.322216369	5.215718996	5.275115505
AF038185	5.897753686	6.44096787	7.123550105	5.900147568	6.302610988	6.497082144	5.903472593	6.264749336	6.809039013	6.215872234	7.176246759	6.723069745	5.838874536
AK293540	5.351182851	5.344007832	5.331486902	5.342403005	5.471396473	5.399328221	5.459240653	5.376471856	5.409904432	5.198562559	5.316995215	5.516646562	5.558700145
HS1BP3	7.524941922	7.458419364	7.360600853	7.90776974	7.060226856	7.258195734	7.663661738	7.344794486	7.889119802	7.702675662	7.615933838	8.167217068	8.179471694
LRRC56	7.565130357	6.424952652	5.97216525	6.793096804	6.157407286	6.410503052	6.769240467	6.055293744	7.496627405	5.99422676	7.317508849	5.410501514	7.735902011
MICALCL	6.846943817	8.038312573	6.370402629	5.579346645	5.768527466	7.435972978	5.533876398	5.650659455	5.886170919	6.33768101	7.044055073	5.695767475	8.067105258
GLIPR1L1	5.653294367	5.286041241	5.51602374	5.560950895	5.476988291	5.286551404	5.423879412	5.410886703	5.525184131	5.598071	5.343247269	5.512855296	5.360651614
NBEAL1	5.608631445	5.16549003	5.236056069	5.323682073	5.007328263	5.308918958	5.203413844	5.049760176	5.293327472	5.109568171	5.432536801	5.27812145	5.456826749
